"","date","sep","temp","rh","co","fsp","o3h8max"
"1",2001-01-01,-0.271348951394279,0.236173567246355,0.000902333187522967,-1.19185119202117,-0.316386046863659,0.189780332997774
"2",2001-01-02,-0.875790598607616,1.18224246077499,1.50745430435815,-1.61568778298925,-1.07391343285582,0.0868726229983787
"3",2001-01-03,-0.568254960825313,1.31820445744977,1.97946414940302,-1.56571557852457,-1.50973868247298,0.190923898749869
"4",2001-01-04,-0.130417413742558,1.06327571368456,1.15183044850242,-1.32561108710801,-0.408227547449424,0.237429639762237
"5",2001-01-05,0.154437225052239,0.881993051451535,0.666888826880973,-2.50252280897878,-2.0636523574286,0.457894588308075
"6",2001-01-06,1.53724084535725,1.09443367125587,0.628093497151258,-2.92570506357306,-2.37062934064027,0.757392881196644
"7",2001-01-07,2.45137119849206,1.85638736095408,0.524639284538683,-1.24456748815877,0.838561413195738,0.363972142612356
"8",2001-01-08,-1.06339306975416,1.59862607559149,0.763877151205263,-1.43736344202107,-1.2169258934985,0.0447305557285246
"9",2001-01-09,-0.00236643879868463,1.26721870869673,0.11728832237667,-0.368105087752873,-0.995770451687837,0.12317945982644
"10",2001-01-10,-1.26465491015023,-0.222698171531006,-0.0831542145601938,-0.0295475724888752,-0.931269596754152,-0.658988696665143
"11",2001-01-11,0.0885768416065282,-0.0300853429084105,0.912592581835839,-0.403966044359016,-0.608270251606968,-0.970118928010615
"12",2001-01-12,-0.454707643241203,0.692212764426328,1.05484212417813,-1.29560029264139,-1.72621499118156,-0.199602888389913
"13",2001-01-13,-0.790889186776536,0.391963355102868,-0.225403756902485,-0.144056488489486,-0.90390378920263,-0.268183447412484
"14",2001-01-14,1.73793336243439,0.304154565583743,-0.561629947893353,-1.27285530669572,-0.912399954431497,0.319009133068566
"15",2001-01-15,-1.05110080933348,-0.415311000153604,-0.762072484830217,-0.941394468613108,0.1231336253498,0.0908954649848147
"16",2001-01-16,0.217913345795378,-0.293511711465785,-0.800867814559932,-1.81643614903214,0.0409194169670424,0.470229102451621
"17",2001-01-17,0.819110690939191,0.216345776064617,-0.167210762307912,-2.56801024136758,-0.862772034673298,0.935771895151508
"18",2001-01-18,0.0987175209197995,1.40601324696889,-0.18660842717277,-2.40845614692819,-1.16817153655106,0.407886975270123
"19",2001-01-19,0.708395767068214,1.80823415379843,-0.32885796951506,-2.01972718913324,-1.23628242769379,0.66197613222589
"20",2001-01-20,0.0784178581680843,1.88471277692799,-0.800867814559933,-1.5750690520672,-0.871267348771312,-0.183253236745268
"21",2001-01-21,-0.449096371941698,1.32953462383933,1.02897857102499,-1.32218526126841,-1.04912095459877,-0.0131451712393056
"22",2001-01-22,0.225313678452357,1.82239686178539,0.990183241295271,-1.51586865506638,-1.29029951947955,0.344100807408404
"23",2001-01-23,0.453000650846248,1.17091229438543,1.74669217102473,-1.68427465247109,-1.86327960079347,-0.266806178938513
"24",2001-01-24,0.203869255234071,1.30970683265759,1.97299826111473,-2.339370440435,-2.05306628903375,-0.0674041926620115
"25",2001-01-25,0.513406948107618,2.05466527277146,2.32215622868217,-1.47218816359586,-1.31211337780342,-0.591779536032476
"26",2001-01-26,0.558247546017498,-0.333167293829261,0.531105172826969,-0.288645321989072,-2.38293498528047,-0.0730196618315865
"27",2001-01-27,-1.28813277486922,-0.741053283853584,0.544036949403541,-0.527671956814454,-1.5883028602879,-0.534750840316691
"28",2001-01-28,0.352313931760615,-1.46051884959093,1.436329533187,-0.372661544892898,-1.60411323515617,-0.506319183398056
"29",2001-01-29,1.4971214664768,-0.68156991030837,-0.781470149695075,-0.120243879303255,-0.649906301525338,-0.333170047465685
"30",2001-01-30,-1.43248782571835,-0.0187551765188456,-0.581027612758211,-0.777821183173867,-0.829858817406408,0.0580189585327842
"31",2001-01-31,0.0648691448904524,0.408958604687215,0.350060300754963,-1.45416000249568,-0.955415529524534,0.260535024406265
"32",2001-02-01,-0.917715008931501,0.536422976569816,0.46644628994411,0.317625231890441,0.321262436127584,-1.17192397995161
"33",2001-02-02,-0.842647715384146,-1.04696777637183,0.64102527372783,-1.12599670891804,-0.963462786337314,-0.39854774186978
"34",2001-02-03,1.29257531232957,-0.33033475223187,1.391068315169,-1.48617709786986,-0.470798470283688,-0.0907073257630106
"35",2001-02-04,0.818062295585824,-0.0357504261031924,1.31347765570957,0.866350378792007,0.301247521839888,-1.38751235615967
"36",2001-02-05,-1.60930069722295,0.760193762763715,1.10656923048442,0.0343099124019095,0.26853573945878,-0.798226356948609
"37",2001-02-06,1.98067004423971,1.58446336760453,0.725081821475546,-1.52725405095262,-0.134205687403008,-0.920468289459922
"38",2001-02-07,1.19330474282103,1.54480778524106,0.110822434088383,-0.672156997960558,-0.633279674324989,-0.701859021239427
"39",2001-02-08,0.200893747216406,-0.565435704815334,-0.561629947893354,-0.0607983454424241,-1.02842931560505,-0.850301340218533
"40",2001-02-09,0.55400028303881,-0.412478458556213,-0.193074315461055,0.431456790123342,0.0600061611788089,-1.04808796971024
"41",2001-02-10,-1.55530579381816,-0.599426203984028,0.000902333187522772,-0.0903158450977516,-0.498910111482641,-1.11321361737975
"42",2001-02-11,-0.482933145797434,0.0832163209872364,0.421185071926109,-0.454851869007407,-0.65814075648919,-0.706274075191618
"43",2001-02-12,-1.24133013349013,1.28704649987846,0.227208423277531,-1.62911548490778,-0.485569945942831,-0.538977620556524
"44",2001-02-13,1.14244213355295,0.658222265257634,0.54403694940354,-1.27094046718989,-1.21091755751478,-0.0528921017876438
